Closing Price,Percent Change,Volume,PEG Ratio,Short Ratio,Pct Change From Year High,Pct Change From Year Low,Pct Change from 50 day mAvg,Ratio of price to 1 yr target price
16.52,-0.18,288379,0.80,19.92,-16.01,36.24,7.44,0.8829502939604489
0.7358,2.1944,297085,0.0000,0.6800,-94.3138,38.8302,13.3231,0.12686206896551724
14.77,-1.99,122126,0.00,45.80,-16.58,61.42,-6.12,0.8283791362871565
3.35,-8.72,1190037,0.00,1.34,-60.17,82.07,-40.92,0.44666666666666666
13.45,-0.37,4167,0.00,0.42,-18.04,8.47,-2.41,0.5847826086956521
15.48,-2.15,11803,0.00,5.53,-8.35,47.15,-3.01,0.86
29.05,-3.01,111132,2.44,2.41,-14.43,95.62,-6.23,0.9502780503761858
26.28,0.15,69464,0.00,3.03,-8.21,73.12,0.85,0.9037138927097662
52.41,-0.19,509132278,4.49,0.55,-3.30,31.02,11.42,0.9750697674418604
2.53,-8.33,1089572,0.00,0.08,-28.51,459.73,44.99,0.7784615384615384
3.31,-0.30,435645,3.25,0.57,-18.27,37.34,-4.42,0.6968421052631579
5.00,-0.99,2978,0.00,0.92,-25.15,61.29,-3.21,0.7142857142857143
26.60,-1.66,59081,-1.30,5.26,-22.87,26.55,7.47,0.8866666666666667
18.63,0.98,225037,0.00,0.17,-11.07,70.60,8.49,0.7043478260869565
6.42,0.16,933149,0.00,12.25,-17.05,100.00,21.08,0.6844349680170575
50.30,0.00,81983,1.63,3.30,-2.71,70.05,5.41,0.9401869158878504
68.30,2.38,79158,13.23,5.81,-22.23,8.93,-11.38,0.879361400798249
24.38,-0.45,557929,2.40,0.94,-5.61,53.72,-0.29,0.9259399924041019
47.35,0.85,659854,2.16,5.73,-4.34,73.57,2.74,0.9696907638746672
33.20,-1.25,389593,0.37,4.21,-7.26,42.92,0.45,0.9545715928694652
88.45,-1.01,248562,1.26,11.66,-5.51,91.74,3.06,0.8911838790931991
33.60,-0.06,113958,3.08,4.55,-16.79,32.86,-11.48,0.8571428571428571
